"Class","BestLambda","Lambda1SE","BestRho","TestAccuracy"
"PV",0.0507048169669814,0.21444298585483,0,0.785714285714286
"ET",0.252193394514457,0.252193394514457,0,0.928571428571429
"MF",0.11232916333595,0.178859793970234,0,0.928571428571429
"CTRL",0.00881927336707538,0.0185637250619414,0,0.928571428571429
"ET",0.252193394514457,0.252193394514457,0,0.928571428571429
"ET",0.252193394514457,0.252193394514457,0,0.928571428571429
