"Class","BestLambda","Lambda1SE","BestRho","TestAccuracy"
"PV",0.294382321907578,0.294382321907578,0,0.777777777777778
"ET",0.243362707339309,0.243362707339309,0,0.777777777777778
"MF",0.117623046414058,0.259374195368681,0,0.833333333333333
"CTRL",0.0101214678423309,0.0101214678423309,0,0.888888888888889
