"Class","BestLambda","Lambda1SE","BestRho","TestAccuracy"
"PV",0.269963213139452,0.269963213139452,0,0.794117647058823
"ET",0.272458829871356,0.272458829871356,0,0.823529411764706
"MF",0.216970175662864,0.273785309580228,0,0.735294117647059
"CTRL",0.0142783822557597,0.184412398193809,0,0.794117647058823
