Class,BestLambda,Lambda1SE,BestRho,TestAccuracy
PV,0.116110454,0.294382322,0,0.777777778
"ET",0.243362707339309,0.243362707339309,0,0.777777777777778
"MF",0.117623046414058,0.129091148232961,0,0.916666666666667
"CTRL",0.012191343848703,0.189657827878808,0,0.888888888888889
